id,label,type,plates
i,i,index,
j,j,index,
k,k,index,
plate_i,"i plate",plate,
plate_j,"j plate",plate,
plate_k,"k plate",plate,

alpha,alpha,stochastic,
beta_age,"beta.age",stochastic,
beta_sex,"beta.sex",stochastic,
beta_dis_k,"beta.dis[k]",stochastic,"for(k in 2:4)",
b_i,"b[i]",stochastic,"for(i in 1:N)",
mu_ij,"mu[i,j]",deterministic,"for(i in 1:N); for(j in 1:M)",
t_ij,"t[i,j]",stochastic,"for(i in 1:N); for(j in 1:M)",
t_cen_ij,"t.cen[i,j]",deterministic,"for(i in 1:N); for(j in 1:M)",

age_ij,"age[i,j]",deterministic,"for(i in 1:N); for(j in 1:M)",
sex_i,"sex[i]",deterministic,"for(i in 1:N)",
disease_i,"disease[i]",deterministic,"for(i in 1:N)",

sigma,sigma,stochastic,
tau,tau,deterministic,
r,r,stochastic,
