from,to,kind
mu_p,Y_p,stochastic
tau_p,Y_p,stochastic
alpha_s1_p,mu_p,deterministic
alpha_s2_p,mu_p,deterministic
alpha_s3_p,mu_p,deterministic
LRT_p,mu_p,deterministic
VR_p1,mu_p,deterministic
VR_p2,mu_p,deterministic
Gender_p,mu_p,deterministic
School_gender_p1,mu_p,deterministic
School_gender_p2,mu_p,deterministic
School_denom_p1,mu_p,deterministic
School_denom_p2,mu_p,deterministic
School_denom_p3,mu_p,deterministic
beta_k,mu_p,deterministic
LRT2_p,mu_p,deterministic
theta,tau_p,deterministic
phi,tau_p,deterministic
LRT_p,tau_p,deterministic
tau_p,sigma2_p,deterministic
LRT_p,LRT2_p,deterministic
school_p,alpha_s1_p,deterministic
school_p,alpha_s2_p,deterministic
school_p,alpha_s3_p,deterministic
alpha_j_vec,alpha_s1_p,deterministic
alpha_j_vec,alpha_s2_p,deterministic
alpha_j_vec,alpha_s3_p,deterministic
alpha_j_vec,alpha1_j,deterministic
gamma_r,alpha_j_vec,stochastic
T_rr,alpha_j_vec,stochastic
mn_r,gamma_r,stochastic
prec_rr,gamma_r,stochastic
R_rr,T_rr,stochastic
